plotID,TreeKey,SpeciesAbbrev,Azimuth,Distance,CrownWidth1,CrownWidth2,CrownOffsetAzimuth,CrownOffsetDistance,Z
188,48760,Sb,296,2.55,2,2.01,0,0,8.3
188,48766,Sb,284,4.63,3.11,2.35,0,0,10.1
188,49035,Bf,292,5.88,2.29,2.32,0,0,10.6
188,49038,Sb,307,8.96,2.25,1.66,0,0,8.9
188,49040,Sb,315,10.09,2.98,2.47,0,0,10.6
188,49041,Sb,309,10.12,2.54,1.93,0,0,9.6
188,49042,Sb,313,11.02,1.76,1.63,0,0,9.2
188,49043,Pj,301,11.13,5.99,4.57,0,0,16.4
188,49048,Sb,334,2.9,1.51,1.54,0,0,8.5
188,49053,Sb,335,4.19,1.85,1.7,0,0,8.8
188,49061,Sb,352,3.68,2.29,1.6,0,0,10.2
188,49064,Sb,353,5.22,1.71,1.44,0,0,8
188,49065,Sb,353,5.56,1.73,1.69,0,0,8.5
188,49067,Sb,354,7.03,2.39,2.06,0,0,8.8
188,49069,Sb,345,7.34,2.17,1.9,0,0,9.9
188,49070,Sb,330,7.88,2.88,2.86,0,0,9.7
188,49073,Sb,320,8.1,2.85,2.75,0,0,9.2
188,49074,Sb,325,10.79,1.32,1.86,0,0,8.5
188,49075,Sb,327,10.69,2.05,1.5,0,0,8.1
188,49076,Sb,330,10.73,1.84,1.39,0,0,7.6
188,49080,Sb,351,10.2,1.93,1.79,0,0,8.8
188,49081,Sb,353,11.14,2.21,2.33,0,0,9.4
198,48998,Sb,27.2,0.8,2.68,2.08,0,0,13.8
198,49000,Sb,33.1,2.9,2.31,2.13,0,0,10.6
198,49001,Sb,359.9,3.2,1.94,2.07,0,0,9.8
198,49004,Sb,15.4,4.5,1.87,1.67,0,0,10.3
198,49006,Pj,13,5.6,2.3,2.35,0,0,14.2
198,49008,Sb,34.8,6,2.6,1.94,0,0,11.1
198,49009,Sb,42.3,6.7,2.3,2.12,0,0,11.2
198,49012,Sb,43.4,9,2.28,1.98,0,0,9.1
